Method,Age,Fate,Top genes,AP
gStatOT,0.0 (yrs),Granulocyte,5,0.6887878787878787
StatOT,0.0 (yrs),Granulocyte,5,0.0
GT-TC,0.0 (yrs),Granulocyte,5,0.3333333333333333
gStatOT,2.0 (yrs),Granulocyte,5,0.5342857142857143
StatOT,2.0 (yrs),Granulocyte,5,0.5083333333333333
GT-TC,2.0 (yrs),Granulocyte,5,0.27999999999999997
gStatOT,4.0 (yrs),Granulocyte,5,0.5503921568627451
StatOT,4.0 (yrs),Granulocyte,5,0.8444444444444444
GT-TC,4.0 (yrs),Granulocyte,5,0.3666666666666667
gStatOT,10.0 (yrs),Granulocyte,5,0.925
StatOT,10.0 (yrs),Granulocyte,5,0.7611111111111111
GT-TC,10.0 (yrs),Granulocyte,5,0.27999999999999997
gStatOT,12.0 (yrs),Granulocyte,5,0.5280112044817927
StatOT,12.0 (yrs),Granulocyte,5,0.8528571428571429
GT-TC,12.0 (yrs),Granulocyte,5,0.26666666666666666
gStatOT,17.0 (yrs),Granulocyte,5,0.9266666666666667
StatOT,17.0 (yrs),Granulocyte,5,0.9666666666666666
GT-TC,17.0 (yrs),Granulocyte,5,0.31000000000000005
gStatOT,25.0 (yrs),Granulocyte,5,0.925
StatOT,25.0 (yrs),Granulocyte,5,0.7595238095238095
GT-TC,25.0 (yrs),Granulocyte,5,0.655
gStatOT,32.0 (yrs),Granulocyte,5,0.7116666666666667
StatOT,32.0 (yrs),Granulocyte,5,0.9028571428571428
GT-TC,32.0 (yrs),Granulocyte,5,0.76
gStatOT,35.0 (yrs),Granulocyte,5,0.8083333333333333
StatOT,35.0 (yrs),Granulocyte,5,0.8761904761904763
GT-TC,35.0 (yrs),Granulocyte,5,0.6799999999999999
gStatOT,45.0 (yrs),Granulocyte,5,0.5758333333333333
StatOT,45.0 (yrs),Granulocyte,5,1.0
GT-TC,45.0 (yrs),Granulocyte,5,0.5266666666666666
gStatOT,53.0 (yrs),Granulocyte,5,0.6977777777777778
StatOT,53.0 (yrs),Granulocyte,5,0.9428571428571428
GT-TC,53.0 (yrs),Granulocyte,5,0.66
gStatOT,62.0 (yrs),Granulocyte,5,1.0
StatOT,62.0 (yrs),Granulocyte,5,0.4823504273504273
GT-TC,62.0 (yrs),Granulocyte,5,0.9
gStatOT,76.0 (yrs),Granulocyte,5,1.0
StatOT,76.0 (yrs),Granulocyte,5,0.8761904761904763
GT-TC,76.0 (yrs),Granulocyte,5,1.0
gStatOT,77.0 (yrs),Granulocyte,5,0.9666666666666666
StatOT,77.0 (yrs),Granulocyte,5,0.7892857142857143
GT-TC,77.0 (yrs),Granulocyte,5,1.0
gStatOT,10.0 (wks),Granulocyte,5,0.9266666666666667
StatOT,10.0 (wks),Granulocyte,5,1.0
GT-TC,10.0 (wks),Granulocyte,5,0.4833333333333333
gStatOT,11.0 (wks),Granulocyte,5,0.723109243697479
StatOT,11.0 (wks),Granulocyte,5,0.8099999999999999
GT-TC,11.0 (wks),Granulocyte,5,0.42000000000000004
gStatOT,13.0 (wks),Granulocyte,5,0.9266666666666667
StatOT,13.0 (wks),Granulocyte,5,1.0
GT-TC,13.0 (wks),Granulocyte,5,0.5416666666666666
gStatOT,14.0 (wks),Granulocyte,5,0.7783333333333333
StatOT,14.0 (wks),Granulocyte,5,0.9111111111111111
GT-TC,14.0 (wks),Granulocyte,5,0.7
gStatOT,15.0 (wks),Granulocyte,5,0.7961904761904762
StatOT,15.0 (wks),Granulocyte,5,1.0
GT-TC,15.0 (wks),Granulocyte,5,0.7
gStatOT,20.0 (wks),Granulocyte,5,0.9
StatOT,20.0 (wks),Granulocyte,5,0.5278388278388279
GT-TC,20.0 (wks),Granulocyte,5,0.6
gStatOT,22.0 (wks),Granulocyte,5,0.7147619047619048
StatOT,22.0 (wks),Granulocyte,5,0.7233333333333334
GT-TC,22.0 (wks),Granulocyte,5,0.6100000000000001
gStatOT,23.0 (wks),Granulocyte,5,0.7861904761904762
StatOT,23.0 (wks),Granulocyte,5,0.0
GT-TC,23.0 (wks),Granulocyte,5,0.76
gStatOT,0.0 (yrs),Lymphoid,5,0.5435883014623173
StatOT,0.0 (yrs),Lymphoid,5,0.0077609826869386445
GT-TC,0.0 (yrs),Lymphoid,5,0.4
gStatOT,2.0 (yrs),Lymphoid,5,1.0
StatOT,2.0 (yrs),Lymphoid,5,0.5555555555555556
GT-TC,2.0 (yrs),Lymphoid,5,0.65
gStatOT,4.0 (yrs),Lymphoid,5,1.0
StatOT,4.0 (yrs),Lymphoid,5,0.8392857142857142
GT-TC,4.0 (yrs),Lymphoid,5,0.9
gStatOT,10.0 (yrs),Lymphoid,5,0.925
StatOT,10.0 (yrs),Lymphoid,5,1.0
GT-TC,10.0 (yrs),Lymphoid,5,0.6799999999999999
gStatOT,12.0 (yrs),Lymphoid,5,0.6732558139534884
StatOT,12.0 (yrs),Lymphoid,5,0.5833333333333333
GT-TC,12.0 (yrs),Lymphoid,5,0.5416666666666666
gStatOT,17.0 (yrs),Lymphoid,5,0.9266666666666667
StatOT,17.0 (yrs),Lymphoid,5,0.9428571428571428
GT-TC,17.0 (yrs),Lymphoid,5,0.6799999999999999
gStatOT,25.0 (yrs),Lymphoid,5,0.9666666666666666
StatOT,25.0 (yrs),Lymphoid,5,1.0
GT-TC,25.0 (yrs),Lymphoid,5,0.8216666666666667
gStatOT,32.0 (yrs),Lymphoid,5,1.0
StatOT,32.0 (yrs),Lymphoid,5,0.5313227513227513
GT-TC,32.0 (yrs),Lymphoid,5,0.88
gStatOT,35.0 (yrs),Lymphoid,5,0.7933333333333333
StatOT,35.0 (yrs),Lymphoid,5,1.0
GT-TC,35.0 (yrs),Lymphoid,5,0.8
gStatOT,45.0 (yrs),Lymphoid,5,0.7386759581881532
StatOT,45.0 (yrs),Lymphoid,5,0.925
GT-TC,45.0 (yrs),Lymphoid,5,0.755
gStatOT,53.0 (yrs),Lymphoid,5,0.9028571428571428
StatOT,53.0 (yrs),Lymphoid,5,0.9666666666666666
GT-TC,53.0 (yrs),Lymphoid,5,0.38
gStatOT,62.0 (yrs),Lymphoid,5,0.010330618746021336
StatOT,62.0 (yrs),Lymphoid,5,0.0038585917652443056
GT-TC,62.0 (yrs),Lymphoid,5,0.0
gStatOT,76.0 (yrs),Lymphoid,5,0.8263157894736842
StatOT,76.0 (yrs),Lymphoid,5,0.5555555555555556
GT-TC,76.0 (yrs),Lymphoid,5,0.3
gStatOT,77.0 (yrs),Lymphoid,5,0.8051948051948052
StatOT,77.0 (yrs),Lymphoid,5,0.19038222691014567
GT-TC,77.0 (yrs),Lymphoid,5,0.55
gStatOT,10.0 (wks),Lymphoid,5,0.6866666666666666
StatOT,10.0 (wks),Lymphoid,5,0.5582775919732441
GT-TC,10.0 (wks),Lymphoid,5,0.71
gStatOT,11.0 (wks),Lymphoid,5,0.6683333333333333
StatOT,11.0 (wks),Lymphoid,5,0.5644444444444444
GT-TC,11.0 (wks),Lymphoid,5,0.52
gStatOT,13.0 (wks),Lymphoid,5,0.7075757575757575
StatOT,13.0 (wks),Lymphoid,5,0.850909090909091
GT-TC,13.0 (wks),Lymphoid,5,0.3416666666666667
gStatOT,14.0 (wks),Lymphoid,5,0.86
StatOT,14.0 (wks),Lymphoid,5,0.5013315579227696
GT-TC,14.0 (wks),Lymphoid,5,0.5016666666666667
gStatOT,15.0 (wks),Lymphoid,5,0.8266666666666668
StatOT,15.0 (wks),Lymphoid,5,0.7833333333333333
GT-TC,15.0 (wks),Lymphoid,5,0.4833333333333333
gStatOT,20.0 (wks),Lymphoid,5,0.6385281385281385
StatOT,20.0 (wks),Lymphoid,5,0.490952380952381
GT-TC,20.0 (wks),Lymphoid,5,0.265
gStatOT,22.0 (wks),Lymphoid,5,0.7435897435897436
StatOT,22.0 (wks),Lymphoid,5,0.5094827586206897
GT-TC,22.0 (wks),Lymphoid,5,0.23166666666666666
gStatOT,23.0 (wks),Lymphoid,5,0.6755555555555556
StatOT,23.0 (wks),Lymphoid,5,0.3512978097417457
GT-TC,23.0 (wks),Lymphoid,5,0.3333333333333333
gStatOT,0.0 (yrs),Mono/DC,5,0.007652316600793632
StatOT,0.0 (yrs),Mono/DC,5,0.4072751322751323
GT-TC,0.0 (yrs),Mono/DC,5,0.0
gStatOT,2.0 (yrs),Mono/DC,5,0.6922222222222223
StatOT,2.0 (yrs),Mono/DC,5,0.21291428067544732
GT-TC,2.0 (yrs),Mono/DC,5,0.355
gStatOT,4.0 (yrs),Mono/DC,5,0.6914285714285715
StatOT,4.0 (yrs),Mono/DC,5,0.0
GT-TC,4.0 (yrs),Mono/DC,5,0.5
gStatOT,10.0 (yrs),Mono/DC,5,0.2244871794871795
StatOT,10.0 (yrs),Mono/DC,5,0.7202564102564103
GT-TC,10.0 (yrs),Mono/DC,5,0.1
gStatOT,12.0 (yrs),Mono/DC,5,0.3973748473748474
StatOT,12.0 (yrs),Mono/DC,5,0.0
GT-TC,12.0 (yrs),Mono/DC,5,0.0
gStatOT,17.0 (yrs),Mono/DC,5,0.8083333333333333
StatOT,17.0 (yrs),Mono/DC,5,0.21684956986747267
GT-TC,17.0 (yrs),Mono/DC,5,0.3
gStatOT,25.0 (yrs),Mono/DC,5,1.0
StatOT,25.0 (yrs),Mono/DC,5,0.8099999999999999
GT-TC,25.0 (yrs),Mono/DC,5,0.7
gStatOT,32.0 (yrs),Mono/DC,5,0.8083333333333333
StatOT,32.0 (yrs),Mono/DC,5,0.0
GT-TC,32.0 (yrs),Mono/DC,5,0.655
gStatOT,35.0 (yrs),Mono/DC,5,0.3232239422084623
StatOT,35.0 (yrs),Mono/DC,5,0.0
GT-TC,35.0 (yrs),Mono/DC,5,0.5166666666666666
gStatOT,45.0 (yrs),Mono/DC,5,0.7202564102564103
StatOT,45.0 (yrs),Mono/DC,5,0.6084415584415584
GT-TC,45.0 (yrs),Mono/DC,5,0.44166666666666665
gStatOT,53.0 (yrs),Mono/DC,5,0.6900000000000001
StatOT,53.0 (yrs),Mono/DC,5,0.8761904761904763
GT-TC,53.0 (yrs),Mono/DC,5,0.3666666666666667
gStatOT,62.0 (yrs),Mono/DC,5,0.495970695970696
StatOT,62.0 (yrs),Mono/DC,5,0.680952380952381
GT-TC,62.0 (yrs),Mono/DC,5,0.4
gStatOT,76.0 (yrs),Mono/DC,5,0.6058333333333333
StatOT,76.0 (yrs),Mono/DC,5,0.3431850977305523
GT-TC,76.0 (yrs),Mono/DC,5,0.5800000000000001
gStatOT,77.0 (yrs),Mono/DC,5,0.8392857142857142
StatOT,77.0 (yrs),Mono/DC,5,0.9428571428571428
GT-TC,77.0 (yrs),Mono/DC,5,0.76
gStatOT,10.0 (wks),Mono/DC,5,0.2288235294117647
StatOT,10.0 (wks),Mono/DC,5,0.8099999999999999
GT-TC,10.0 (wks),Mono/DC,5,0.4
gStatOT,11.0 (wks),Mono/DC,5,0.278153953889248
StatOT,11.0 (wks),Mono/DC,5,0.2337878787878788
GT-TC,11.0 (wks),Mono/DC,5,0.20666666666666667
gStatOT,13.0 (wks),Mono/DC,5,0.6477124183006536
StatOT,13.0 (wks),Mono/DC,5,0.3493795093795094
GT-TC,13.0 (wks),Mono/DC,5,0.22
gStatOT,14.0 (wks),Mono/DC,5,0.6595238095238095
StatOT,14.0 (wks),Mono/DC,5,0.0
GT-TC,14.0 (wks),Mono/DC,5,0.15000000000000002
gStatOT,15.0 (wks),Mono/DC,5,0.29947550235975284
StatOT,15.0 (wks),Mono/DC,5,0.0
GT-TC,15.0 (wks),Mono/DC,5,0.3416666666666667
gStatOT,20.0 (wks),Mono/DC,5,0.6976190476190476
StatOT,20.0 (wks),Mono/DC,5,0.8761904761904763
GT-TC,20.0 (wks),Mono/DC,5,0.655
gStatOT,22.0 (wks),Mono/DC,5,0.7596491228070176
StatOT,22.0 (wks),Mono/DC,5,0.0
GT-TC,22.0 (wks),Mono/DC,5,0.6100000000000001
gStatOT,23.0 (wks),Mono/DC,5,0.6935897435897436
StatOT,23.0 (wks),Mono/DC,5,0.6342424242424243
GT-TC,23.0 (wks),Mono/DC,5,0.76
gStatOT,0.0 (yrs),Erythroid,5,0.5991452991452991
StatOT,0.0 (yrs),Erythroid,5,0.30468007617631143
GT-TC,0.0 (yrs),Erythroid,5,0.4
gStatOT,2.0 (yrs),Erythroid,5,0.4616666666666666
StatOT,2.0 (yrs),Erythroid,5,0.9028571428571428
GT-TC,2.0 (yrs),Erythroid,5,0.3416666666666667
gStatOT,4.0 (yrs),Erythroid,5,0.6433333333333333
StatOT,4.0 (yrs),Erythroid,5,0.0
GT-TC,4.0 (yrs),Erythroid,5,0.575
gStatOT,10.0 (yrs),Erythroid,5,0.9028571428571428
StatOT,10.0 (yrs),Erythroid,5,0.75
GT-TC,10.0 (yrs),Erythroid,5,0.39166666666666666
gStatOT,12.0 (yrs),Erythroid,5,0.4362335526315789
StatOT,12.0 (yrs),Erythroid,5,0.0
GT-TC,12.0 (yrs),Erythroid,5,0.165
gStatOT,17.0 (yrs),Erythroid,5,0.5866666666666667
StatOT,17.0 (yrs),Erythroid,5,0.5961904761904762
GT-TC,17.0 (yrs),Erythroid,5,0.30000000000000004
gStatOT,25.0 (yrs),Erythroid,5,0.9666666666666666
StatOT,25.0 (yrs),Erythroid,5,0.3889194139194139
GT-TC,25.0 (yrs),Erythroid,5,0.65
gStatOT,32.0 (yrs),Erythroid,5,0.8528571428571429
StatOT,32.0 (yrs),Erythroid,5,0.7814285714285714
GT-TC,32.0 (yrs),Erythroid,5,0.6666666666666666
gStatOT,35.0 (yrs),Erythroid,5,0.8766666666666667
StatOT,35.0 (yrs),Erythroid,5,0.9428571428571428
GT-TC,35.0 (yrs),Erythroid,5,0.215
gStatOT,45.0 (yrs),Erythroid,5,0.8266666666666668
StatOT,45.0 (yrs),Erythroid,5,0.5783333333333334
GT-TC,45.0 (yrs),Erythroid,5,0.3083333333333333
gStatOT,53.0 (yrs),Erythroid,5,0.8392857142857142
StatOT,53.0 (yrs),Erythroid,5,0.8766666666666667
GT-TC,53.0 (yrs),Erythroid,5,0.3683333333333333
gStatOT,62.0 (yrs),Erythroid,5,0.8528571428571429
StatOT,62.0 (yrs),Erythroid,5,0.3759090909090909
GT-TC,62.0 (yrs),Erythroid,5,0.45166666666666666
gStatOT,76.0 (yrs),Erythroid,5,0.7087301587301587
StatOT,76.0 (yrs),Erythroid,5,0.7633333333333334
GT-TC,76.0 (yrs),Erythroid,5,0.66
gStatOT,77.0 (yrs),Erythroid,5,0.8083333333333333
StatOT,77.0 (yrs),Erythroid,5,0.525952380952381
GT-TC,77.0 (yrs),Erythroid,5,0.76
gStatOT,10.0 (wks),Erythroid,5,1.0
StatOT,10.0 (wks),Erythroid,5,0.9266666666666667
GT-TC,10.0 (wks),Erythroid,5,0.8
gStatOT,11.0 (wks),Erythroid,5,0.8526315789473685
StatOT,11.0 (wks),Erythroid,5,0.7859649122807018
GT-TC,11.0 (wks),Erythroid,5,0.8
gStatOT,13.0 (wks),Erythroid,5,0.9666666666666666
StatOT,13.0 (wks),Erythroid,5,0.8833333333333334
GT-TC,13.0 (wks),Erythroid,5,0.78
gStatOT,14.0 (wks),Erythroid,5,1.0
StatOT,14.0 (wks),Erythroid,5,0.85
GT-TC,14.0 (wks),Erythroid,5,0.8
gStatOT,15.0 (wks),Erythroid,5,0.9428571428571428
StatOT,15.0 (wks),Erythroid,5,0.7958333333333333
GT-TC,15.0 (wks),Erythroid,5,0.78
gStatOT,20.0 (wks),Erythroid,5,0.850909090909091
StatOT,20.0 (wks),Erythroid,5,0.8909090909090909
GT-TC,20.0 (wks),Erythroid,5,0.8
gStatOT,22.0 (wks),Erythroid,5,0.9428571428571428
StatOT,22.0 (wks),Erythroid,5,1.0
GT-TC,22.0 (wks),Erythroid,5,0.78
gStatOT,23.0 (wks),Erythroid,5,0.8711111111111112
StatOT,23.0 (wks),Erythroid,5,0.9666666666666666
GT-TC,23.0 (wks),Erythroid,5,0.8
gStatOT,0.0 (yrs),Megakaryocyte,5,0.1597222222222222
StatOT,0.0 (yrs),Megakaryocyte,5,0.0
GT-TC,0.0 (yrs),Megakaryocyte,5,0.0
gStatOT,2.0 (yrs),Megakaryocyte,5,0.0
StatOT,2.0 (yrs),Megakaryocyte,5,1.0
GT-TC,2.0 (yrs),Megakaryocyte,5,0.5
gStatOT,4.0 (yrs),Megakaryocyte,5,0.0
StatOT,4.0 (yrs),Megakaryocyte,5,1.0
GT-TC,4.0 (yrs),Megakaryocyte,5,0.5
gStatOT,10.0 (yrs),Megakaryocyte,5,0.8102564102564103
StatOT,10.0 (yrs),Megakaryocyte,5,0.0
GT-TC,10.0 (yrs),Megakaryocyte,5,0.16666666666666666
gStatOT,12.0 (yrs),Megakaryocyte,5,0.6
StatOT,12.0 (yrs),Megakaryocyte,5,0.0
GT-TC,12.0 (yrs),Megakaryocyte,5,0.23166666666666666
gStatOT,17.0 (yrs),Megakaryocyte,5,0.6093939393939394
StatOT,17.0 (yrs),Megakaryocyte,5,0.0
GT-TC,17.0 (yrs),Megakaryocyte,5,0.16666666666666666
gStatOT,25.0 (yrs),Megakaryocyte,5,0.031020204203664657
StatOT,25.0 (yrs),Megakaryocyte,5,0.0
GT-TC,25.0 (yrs),Megakaryocyte,5,0.1
gStatOT,32.0 (yrs),Megakaryocyte,5,0.0
StatOT,32.0 (yrs),Megakaryocyte,5,1.0
GT-TC,32.0 (yrs),Megakaryocyte,5,0.0
gStatOT,35.0 (yrs),Megakaryocyte,5,0.5003263403263404
StatOT,35.0 (yrs),Megakaryocyte,5,0.0
GT-TC,35.0 (yrs),Megakaryocyte,5,0.2
gStatOT,45.0 (yrs),Megakaryocyte,5,0.21485650152316818
StatOT,45.0 (yrs),Megakaryocyte,5,0.0
GT-TC,45.0 (yrs),Megakaryocyte,5,0.3083333333333333
gStatOT,53.0 (yrs),Megakaryocyte,5,0.8
StatOT,53.0 (yrs),Megakaryocyte,5,0.0
GT-TC,53.0 (yrs),Megakaryocyte,5,0.575
gStatOT,62.0 (yrs),Megakaryocyte,5,0.671146953405018
StatOT,62.0 (yrs),Megakaryocyte,5,0.2651070623754709
GT-TC,62.0 (yrs),Megakaryocyte,5,0.7
gStatOT,76.0 (yrs),Megakaryocyte,5,0.8256410256410256
StatOT,76.0 (yrs),Megakaryocyte,5,0.6857142857142857
GT-TC,76.0 (yrs),Megakaryocyte,5,0.675
gStatOT,77.0 (yrs),Megakaryocyte,5,0.6909678909678909
StatOT,77.0 (yrs),Megakaryocyte,5,0.0
GT-TC,77.0 (yrs),Megakaryocyte,5,0.6
gStatOT,10.0 (wks),Megakaryocyte,5,0.925
StatOT,10.0 (wks),Megakaryocyte,5,0.0
GT-TC,10.0 (wks),Megakaryocyte,5,0.0
gStatOT,11.0 (wks),Megakaryocyte,5,0.05081202453157889
StatOT,11.0 (wks),Megakaryocyte,5,0.0
GT-TC,11.0 (wks),Megakaryocyte,5,0.1
gStatOT,13.0 (wks),Megakaryocyte,5,0.05333333333333333
StatOT,13.0 (wks),Megakaryocyte,5,0.0
GT-TC,13.0 (wks),Megakaryocyte,5,0.1
gStatOT,14.0 (wks),Megakaryocyte,5,0.16475849731663686
StatOT,14.0 (wks),Megakaryocyte,5,0.0
GT-TC,14.0 (wks),Megakaryocyte,5,0.165
gStatOT,15.0 (wks),Megakaryocyte,5,0.0590909090909091
StatOT,15.0 (wks),Megakaryocyte,5,0.0
GT-TC,15.0 (wks),Megakaryocyte,5,0.30000000000000004
gStatOT,20.0 (wks),Megakaryocyte,5,0.20298507462686569
StatOT,20.0 (wks),Megakaryocyte,5,0.12352941176470589
GT-TC,20.0 (wks),Megakaryocyte,5,0.12000000000000001
gStatOT,22.0 (wks),Megakaryocyte,5,0.1362330992290355
StatOT,22.0 (wks),Megakaryocyte,5,0.0
GT-TC,22.0 (wks),Megakaryocyte,5,0.21666666666666667
gStatOT,23.0 (wks),Megakaryocyte,5,0.21624242424242426
StatOT,23.0 (wks),Megakaryocyte,5,0.0
GT-TC,23.0 (wks),Megakaryocyte,5,0.4
gStatOT,0.0 (yrs),Baso/Mast,5,0.7166666666666667
StatOT,0.0 (yrs),Baso/Mast,5,0.2829818153458204
