Method,Age,Fate,Top genes,AP
gStatOT,0.0 (yrs),Baso/Mast,5,0.01873254829776569
StatOT,0.0 (yrs),Baso/Mast,5,0.0
GT-TC,0.0 (yrs),Baso/Mast,5,0.4
gStatOT,2.0 (yrs),Baso/Mast,5,0.01917426791103573
StatOT,2.0 (yrs),Baso/Mast,5,0.0
GT-TC,2.0 (yrs),Baso/Mast,5,0.5800000000000001
gStatOT,4.0 (yrs),Baso/Mast,5,0.019652327551319286
StatOT,4.0 (yrs),Baso/Mast,5,0.0
GT-TC,4.0 (yrs),Baso/Mast,5,0.71
gStatOT,10.0 (yrs),Baso/Mast,5,0.008618035631666363
StatOT,10.0 (yrs),Baso/Mast,5,0.0
GT-TC,10.0 (yrs),Baso/Mast,5,0.78
gStatOT,12.0 (yrs),Baso/Mast,5,0.007874541207874541
StatOT,12.0 (yrs),Baso/Mast,5,0.0
GT-TC,12.0 (yrs),Baso/Mast,5,0.8
gStatOT,17.0 (yrs),Baso/Mast,5,0.02348568930144957
StatOT,17.0 (yrs),Baso/Mast,5,0.1217625458996328
GT-TC,17.0 (yrs),Baso/Mast,5,0.78
gStatOT,25.0 (yrs),Baso/Mast,5,0.024201793033909826
StatOT,25.0 (yrs),Baso/Mast,5,0.027724395151396186
GT-TC,25.0 (yrs),Baso/Mast,5,0.88
gStatOT,32.0 (yrs),Baso/Mast,5,0.031086407366898484
StatOT,32.0 (yrs),Baso/Mast,5,0.0
GT-TC,32.0 (yrs),Baso/Mast,5,0.8
gStatOT,35.0 (yrs),Baso/Mast,5,0.013343656984299259
StatOT,35.0 (yrs),Baso/Mast,5,0.006829160638922806
GT-TC,35.0 (yrs),Baso/Mast,5,0.6
gStatOT,45.0 (yrs),Baso/Mast,5,0.020182479010291167
StatOT,45.0 (yrs),Baso/Mast,5,0.006533022961080442
GT-TC,45.0 (yrs),Baso/Mast,5,0.8
gStatOT,53.0 (yrs),Baso/Mast,5,0.007993636905945515
StatOT,53.0 (yrs),Baso/Mast,5,0.0
GT-TC,53.0 (yrs),Baso/Mast,5,0.8
gStatOT,62.0 (yrs),Baso/Mast,5,0.02
StatOT,62.0 (yrs),Baso/Mast,5,0.03687139151535436
GT-TC,62.0 (yrs),Baso/Mast,5,0.56
gStatOT,76.0 (yrs),Baso/Mast,5,0.0342747490444237
StatOT,76.0 (yrs),Baso/Mast,5,0.0
