method,Age,marginal_W2_dist,traj_W2_dist,FP_TV_dist,FP_perc_matches,n_iter,opt_time,const_err,experiment,N,T
gStatOT,2.0,0.5260786999984902,0.9243613691687109,0.8228679,50.0,10000.0,0.07 mins,3.967417326222744e-06,1,20,2
gStatOT,99.0,0.5425051531288848,1.0318332547575297,1.4375738,20.0,10000.0,0.07 mins,3.967417326222744e-06,1,20,2
StatOT,2.0,0.516140820939799,0.9804325216521126,0.8229791,50.0,,,5.551115123125783e-17,1,20,2
StatOT,99.0,0.5318454788679225,0.9488756481055347,1.4377486,20.0,,,8.326672684688674e-17,1,20,2
gStatOT,2.0,0.555699975637429,0.9772687518836151,1.0904409,50.0,10000.0,0.07 mins,8.077391029326364e-05,2,20,2
gStatOT,99.0,0.6702882319141287,1.0562010020668993,0.39080924,90.0,10000.0,0.07 mins,8.077391029326364e-05,2,20,2
StatOT,2.0,0.5193655374731098,0.97835392600064,0.3577121,80.0,,,5.551115123125783e-17,2,20,2
StatOT,99.0,0.6784507353791143,1.0042916416321022,2.0,90.0,,,9.71445146547012e-17,2,20,2
gStatOT,2.0,0.5181403831469438,1.023685261360616,0.6684139,60.0,10000.0,0.07 mins,8.750982334326807e-06,3,20,2
gStatOT,99.0,0.7618973678721315,1.1228235017603845,0.3869276,90.0,10000.0,0.07 mins,8.750982334326807e-06,3,20,2
StatOT,2.0,0.45904314512983724,0.9061019726992372,0.42729297,70.0,,,8.326672684688674e-17,3,20,2
StatOT,99.0,0.7615327669482866,1.2026806785521198,0.3869343,90.0,,,9.71445146547012e-17,3,20,2
gStatOT,2.0,0.5121781577341249,0.8825999920464906,0.5856385,60.0,10000.0,0.07 mins,3.453582855783566e-05,4,20,2
gStatOT,99.0,0.5173129204022469,1.0444476023026623,1.0331575,60.0,10000.0,0.07 mins,3.453582855783566e-05,4,20,2
StatOT,2.0,0.49497404978726584,0.9435749071682391,0.30783752,70.0,,,1.1102230246251565e-16,4,20,2
StatOT,99.0,0.5029178228384199,1.030168234903708,1.0331575,60.0,,,1.1102230246251565e-16,4,20,2
gStatOT,2.0,0.457657571176649,0.9421999821988524,0.8308891,60.0,10000.0,0.07 mins,1.2578599249302158e-05,5,20,2
gStatOT,99.0,0.45887860884013476,1.0552870829411356,0.8045559,60.0,10000.0,0.07 mins,1.2578599249302158e-05,5,20,2
StatOT,2.0,0.4659259456911359,0.9653947064450762,2.0,60.0,,,5.551115123125783e-17,5,20,2
