"","Cell","orig.ident","nCount_RNA","nFeature_RNA","seurat_clusters","cluster_name"
"1","BM1_bcBSQM","BM1",5125,2140,1,"MPP-1"
"2","BM1_bcCHLB","BM1",5050,2116,0,"HSC"
"3","BM1_bcFZFC","BM1",4761,2024,1,"MPP-1"
"4","BM1_bcGZEW","BM1",4119,1754,0,"HSC"
"5","BM1_bcFMRM","BM1",4575,1952,1,"MPP-1"
"6","BM1_bcGXJU","BM1",4285,1993,1,"MPP-1"
"7","BM1_bcCGNZ","BM1",4158,1882,1,"MPP-1"
"8","BM1_bcFFAD","BM1",3629,1853,1,"MPP-1"
"9","BM1_bcAIXH","BM1",3720,1760,1,"MPP-1"
"10","BM1_bcDEPL","BM1",3564,1683,14,"Mk/E-MPP"
"11","BM1_bcBLXF","BM1",3334,1551,0,"HSC"
"12","BM1_bcDBND","BM1",3233,1558,1,"MPP-1"
"13","BM1_bcGTRD","BM1",3169,1527,1,"MPP-1"
"14","BM1_bcBDVL","BM1",3355,1606,0,"HSC"
"15","BM1_bcCMUW","BM1",3044,1457,0,"HSC"
"16","BM1_bcHFBQ","BM1",3111,1476,0,"HSC"
"17","BM1_bcEFZJ","BM1",2942,1340,0,"HSC"
"18","BM1_bcFNXA","BM1",2893,1499,1,"MPP-1"
"19","BM1_bcDBSV","BM1",2496,1222,0,"HSC"
"20","BM1_bcDKTO","BM1",2281,1163,0,"HSC"
"21","BM1_bcGDGP","BM1",2237,1062,0,"HSC"
"22","BM1_bcBTKA","BM1",2078,1066,0,"HSC"
"23","BM1_bcBXOY","BM1",1863,1049,1,"MPP-1"
"24","BM1_bcEVLI","BM1",1711,911,0,"HSC"
"25","BM1_bcEKLR","BM1",995,617,14,"Mk/E-MPP"
"26","BM1_bcDSFQ","BM1",6054,3077,5,"G-Prog-1"
"27","BM1_bcGAEH","BM1",5371,2616,1,"MPP-1"
"28","BM1_bcBPEM","BM1",5596,2272,1,"MPP-1"
"29","BM1_bcCKYZ","BM1",4465,2002,1,"MPP-1"
"30","BM1_bcFQYE","BM1",4122,1980,1,"MPP-1"
"31","BM1_bcAXGQ","BM1",3899,1701,0,"HSC"
"32","BM1_bcGDZJ","BM1",3786,2073,6,"Ly-Prog-2"
