Cell,age
BM1_bcBSQM,25yr-1
BM1_bcCHLB,25yr-1
BM1_bcFZFC,25yr-1
BM1_bcGZEW,25yr-1
BM1_bcFMRM,25yr-1
BM1_bcGXJU,25yr-1
BM1_bcCGNZ,25yr-1
BM1_bcFFAD,25yr-1
BM1_bcAIXH,25yr-1
BM1_bcDEPL,25yr-1
BM1_bcBLXF,25yr-1
BM1_bcDBND,25yr-1
BM1_bcGTRD,25yr-1
BM1_bcBDVL,25yr-1
BM1_bcCMUW,25yr-1
BM1_bcHFBQ,25yr-1
BM1_bcEFZJ,25yr-1
BM1_bcFNXA,25yr-1
BM1_bcDBSV,25yr-1
BM1_bcDKTO,25yr-1
BM1_bcGDGP,25yr-1
BM1_bcBTKA,25yr-1
BM1_bcBXOY,25yr-1
BM1_bcEVLI,25yr-1
BM1_bcEKLR,25yr-1
BM1_bcDSFQ,25yr-1
BM1_bcGAEH,25yr-1
BM1_bcBPEM,25yr-1
BM1_bcCKYZ,25yr-1
BM1_bcFQYE,25yr-1
BM1_bcAXGQ,25yr-1
BM1_bcGDZJ,25yr-1
BM1_bcEXNN,25yr-1
BM1_bcEBUX,25yr-1
BM1_bcCJTW,25yr-1
BM1_bcHELD,25yr-1
BM1_bcDZLG,25yr-1
BM1_bcGHVH,25yr-1
BM1_bcCOCU,25yr-1
BM1_bcDKEX,25yr-1
BM1_bcDQWJ,25yr-1
BM1_bcEMUU,25yr-1
BM1_bcHBXW,25yr-1
BM1_bcGNCF,25yr-1
BM1_bcCYKW,25yr-1
BM1_bcAKDA,25yr-1
BM1_bcECZM,25yr-1
BM1_bcAKKM,25yr-1
BM1_bcBGJD,25yr-1
BM1_bcBEDB,25yr-1
BM1_bcEVAM,25yr-1
BM1_bcADRL,25yr-1
BM1_bcCIAQ,25yr-1
BM1_bcHAAB,25yr-1
BM1_bcCKVD,25yr-1
BM1_bcFJNY,25yr-1
BM1_bcASKS,25yr-1
BM1_bcHGZS,25yr-1
BM1_bcIBEL,25yr-1
BM1_bcGERB,25yr-1
BM1_bcFRIT,25yr-1
BM1_bcDDED,25yr-1
BM1_bcAQDP,25yr-1
BM1_bcFLXH,25yr-1
BM1_bcDXZW,25yr-1
BM1_bcGORZ,25yr-1
BM1_bcDBZZ,25yr-1
BM1_bcFTTL,25yr-1
BM1_bcEFWO,25yr-1
BM1_bcIGNO,25yr-1
BM1_bcCPIR,25yr-1
BM1_bcEJAN,25yr-1
BM1_bcCWDQ,25yr-1
BM1_bcBJYL,25yr-1
BM1_bcGBZI,25yr-1
BM1_bcCJAM,25yr-1
BM1_bcEXLD,25yr-1
BM1_bcASGV,25yr-1
BM1_bcHAHZ,25yr-1
BM1_bcHCUF,25yr-1
BM1_bcDOOK,25yr-1
BM1_bcGUAT,25yr-1
BM1_bcEFHO,25yr-1
BM1_bcGIMX,25yr-1
BM1_bcHOSH,25yr-1
BM1_bcDRST,25yr-1
BM1_bcCKGC,25yr-1
BM1_bcFDIP,25yr-1
BM1_bcEMLH,25yr-1
BM1_bcEGWO,25yr-1
BM1_bcAGBA,25yr-1
BM1_bcDHEV,25yr-1
BM1_bcDIZQ,25yr-1
BM1_bcDVWV,25yr-1
BM1_bcCIXR,25yr-1
BM1_bcBCOO,25yr-1
BM1_bcGRBN,25yr-1
BM1_bcBBSC,25yr-1
BM1_bcAWBM,25yr-1
BM1_bcCVFK,25yr-1
BM1_bcEPDG,25yr-1
BM1_bcDVFC,25yr-1
BM1_bcBJEF,25yr-1
BM1_bcEJKB,25yr-1
BM1_bcGJOG,25yr-1
BM1_bcAQGA,25yr-1
BM1_bcEQXC,25yr-1
BM1_bcDUHZ,25yr-1
BM1_bcCXSJ,25yr-1
BM1_bcBVXW,25yr-1
BM1_bcATGY,25yr-1
BM1_bcAHPJ,25yr-1
BM1_bcGURE,25yr-1
BM1_bcGCSS,25yr-1
BM1_bcIBAC,25yr-1
BM1_bcGCLH,25yr-1
