Cell,meta_cluster
BM1_bcBSQM,HSC/MPP
BM1_bcCHLB,HSC/MPP
BM1_bcFZFC,HSC/MPP
BM1_bcGZEW,HSC/MPP
BM1_bcFMRM,HSC/MPP
BM1_bcGXJU,HSC/MPP
BM1_bcCGNZ,HSC/MPP
BM1_bcFFAD,HSC/MPP
BM1_bcAIXH,HSC/MPP
BM1_bcDEPL,Meg/Ery-biased-MPP
BM1_bcBLXF,HSC/MPP
BM1_bcDBND,HSC/MPP
BM1_bcGTRD,HSC/MPP
BM1_bcBDVL,HSC/MPP
BM1_bcCMUW,HSC/MPP
BM1_bcHFBQ,HSC/MPP
BM1_bcEFZJ,HSC/MPP
BM1_bcFNXA,HSC/MPP
BM1_bcDBSV,HSC/MPP
BM1_bcDKTO,HSC/MPP
BM1_bcGDGP,HSC/MPP
BM1_bcBTKA,HSC/MPP
BM1_bcBXOY,HSC/MPP
BM1_bcEVLI,HSC/MPP
BM1_bcEKLR,Meg/Ery-biased-MPP
BM1_bcDSFQ,Granulocyte
BM1_bcGAEH,HSC/MPP
BM1_bcBPEM,HSC/MPP
BM1_bcCKYZ,HSC/MPP
BM1_bcFQYE,HSC/MPP
BM1_bcAXGQ,HSC/MPP
BM1_bcGDZJ,Lymphoid
BM1_bcEXNN,HSC/MPP
BM1_bcEBUX,HSC/MPP
BM1_bcCJTW,HSC/MPP
BM1_bcHELD,HSC/MPP
BM1_bcDZLG,HSC/MPP
BM1_bcGHVH,HSC/MPP
BM1_bcCOCU,HSC/MPP
BM1_bcDKEX,HSC/MPP
BM1_bcDQWJ,Myeloid-biased-MPP
BM1_bcEMUU,HSC/MPP
BM1_bcHBXW,HSC/MPP
BM1_bcGNCF,HSC/MPP
BM1_bcCYKW,HSC/MPP
BM1_bcAKDA,HSC/MPP
BM1_bcECZM,Meg/Ery-biased-MPP
BM1_bcAKKM,HSC/MPP
BM1_bcBGJD,HSC/MPP
BM1_bcBEDB,HSC/MPP
BM1_bcEVAM,HSC/MPP
BM1_bcADRL,HSC/MPP
BM1_bcCIAQ,HSC/MPP
BM1_bcHAAB,HSC/MPP
BM1_bcCKVD,HSC/MPP
BM1_bcFJNY,HSC/MPP
BM1_bcASKS,HSC/MPP
BM1_bcHGZS,Lymphoid
BM1_bcIBEL,HSC/MPP
BM1_bcGERB,HSC/MPP
BM1_bcFRIT,HSC/MPP
BM1_bcDDED,HSC/MPP
BM1_bcAQDP,HSC/MPP
BM1_bcFLXH,HSC/MPP
BM1_bcDXZW,HSC/MPP
BM1_bcGORZ,HSC/MPP
BM1_bcDBZZ,HSC/MPP
BM1_bcFTTL,HSC/MPP
BM1_bcEFWO,HSC/MPP
BM1_bcIGNO,HSC/MPP
BM1_bcCPIR,HSC/MPP
BM1_bcEJAN,Meg/Ery-biased-MPP
BM1_bcCWDQ,HSC/MPP
BM1_bcBJYL,Meg/Ery-biased-MPP
BM1_bcGBZI,HSC/MPP
BM1_bcCJAM,HSC/MPP
BM1_bcEXLD,HSC/MPP
BM1_bcASGV,HSC/MPP
BM1_bcHAHZ,HSC/MPP
