Cell,sink_type
BM1_bcBSQM,
BM1_bcCHLB,
BM1_bcFZFC,
BM1_bcGZEW,
BM1_bcFMRM,
BM1_bcGXJU,
BM1_bcCGNZ,
BM1_bcFFAD,
BM1_bcAIXH,
BM1_bcDEPL,
BM1_bcBLXF,
BM1_bcDBND,
BM1_bcGTRD,
BM1_bcBDVL,
BM1_bcCMUW,
BM1_bcHFBQ,
BM1_bcEFZJ,
BM1_bcFNXA,
BM1_bcDBSV,
BM1_bcDKTO,
BM1_bcGDGP,
BM1_bcBTKA,
BM1_bcBXOY,
BM1_bcEVLI,
BM1_bcEKLR,
BM1_bcDSFQ,
BM1_bcGAEH,
BM1_bcBPEM,
BM1_bcCKYZ,
BM1_bcFQYE,
BM1_bcAXGQ,
BM1_bcGDZJ,
BM1_bcEXNN,
BM1_bcEBUX,
BM1_bcCJTW,
BM1_bcHELD,
BM1_bcDZLG,
BM1_bcGHVH,
BM1_bcCOCU,
BM1_bcDKEX,
BM1_bcDQWJ,
BM1_bcEMUU,
BM1_bcHBXW,
BM1_bcGNCF,
BM1_bcCYKW,
BM1_bcAKDA,
BM1_bcECZM,
BM1_bcAKKM,
BM1_bcBGJD,
BM1_bcBEDB,
BM1_bcEVAM,
BM1_bcADRL,
BM1_bcCIAQ,
BM1_bcHAAB,
BM1_bcCKVD,
BM1_bcFJNY,
BM1_bcASKS,
BM1_bcHGZS,
BM1_bcIBEL,
BM1_bcGERB,
BM1_bcFRIT,
BM1_bcDDED,
BM1_bcAQDP,
BM1_bcFLXH,
BM1_bcDXZW,
BM1_bcGORZ,
BM1_bcDBZZ,
BM1_bcFTTL,
BM1_bcEFWO,
BM1_bcIGNO,
BM1_bcCPIR,
BM1_bcEJAN,
BM1_bcCWDQ,
BM1_bcBJYL,
BM1_bcGBZI,
BM1_bcCJAM,
BM1_bcEXLD,
BM1_bcASGV,
BM1_bcHAHZ,
BM1_bcHCUF,
BM1_bcDOOK,
BM1_bcGUAT,
BM1_bcEFHO,
BM1_bcGIMX,
BM1_bcHOSH,
BM1_bcDRST,
BM1_bcCKGC,
BM1_bcFDIP,
BM1_bcEMLH,
BM1_bcEGWO,
BM1_bcAGBA,
BM1_bcDHEV,
BM1_bcDIZQ,
BM1_bcDVWV,
BM1_bcCIXR,
BM1_bcBCOO,
BM1_bcGRBN,
BM1_bcBBSC,
BM1_bcAWBM,
BM1_bcCVFK,
BM1_bcEPDG,
BM1_bcDVFC,
BM1_bcBJEF,
BM1_bcEJKB,
BM1_bcGJOG,
BM1_bcAQGA,
BM1_bcEQXC,
BM1_bcDUHZ,
BM1_bcCXSJ,
BM1_bcBVXW,
BM1_bcATGY,
BM1_bcAHPJ,
BM1_bcGURE,
BM1_bcGCSS,
BM1_bcIBAC,
BM1_bcGCLH,
BM1_bcGUSE,
BM1_bcGDPL,
BM1_bcAXDG,
BM1_bcCNKM,
BM1_bcDCLR,
BM1_bcAGDA,
BM1_bcCWXR,
BM1_bcCZYX,
BM1_bcAEUV,
BM1_bcEJMT,
BM1_bcAZHG,
BM1_bcCZGG,
BM1_bcENUV,
BM1_bcDNRP,
BM1_bcEMZV,
BM1_bcBRCI,
BM1_bcEFTL,
BM1_bcFCRJ,
BM1_bcAOEU,
BM1_bcHUPS,
BM1_bcGDWO,
BM1_bcFOAM,
BM1_bcGZZM,
BM1_bcABTZ,
BM1_bcBKIP,
BM1_bcBRQF,
BM1_bcHHJD,
BM1_bcFIEM,
BM1_bcETCD,
BM1_bcHSKO,
BM1_bcCZDZ,
BM1_bcFQWJ,
BM1_bcFRNQ,
BM1_bcETGN,
BM1_bcGNEX,
BM1_bcELSD,
BM1_bcCKFO,
BM1_bcAJYU,
BM1_bcCYJU,
BM1_bcCTXC,
BM1_bcFTVE,
BM1_bcBRNE,
BM1_bcBXKH,
BM1_bcDRPJ,
BM1_bcBERW,
BM1_bcGGUM,
BM1_bcDEJV,
BM1_bcEIFX,
BM1_bcGOLJ,
BM1_bcCKKZ,
BM1_bcAGEJ,
BM1_bcAWCC,
BM1_bcFPFK,
BM1_bcFBMU,
BM1_bcBGXT,
BM1_bcBQEX,
BM1_bcGNVK,
BM1_bcCSHN,
BM1_bcAGDG,
BM1_bcBQDA,
BM1_bcCZRW,
BM1_bcCUWO,
BM1_bcHKTD,
BM1_bcHFOJ,
BM1_bcEZPR,
BM1_bcCJNU,
BM1_bcGHCK,
BM1_bcBIDP,
BM1_bcCUYA,
BM1_bcFWGW,
BM1_bcCYGS,
BM1_bcERRJ,
BM1_bcGDGD,
BM1_bcFIYN,
BM1_bcBELS,
BM1_bcEUTE,
BM1_bcAOZD,
BM1_bcFTLQ,
BM1_bcHPSS,
BM1_bcDWAA,
BM1_bcEBCK,
BM1_bcFLAV,
BM1_bcDARR,
BM1_bcAUJL,
BM1_bcBHBT,
BM1_bcFGHC,
BM1_bcFNVD,
BM1_bcERNP,
